Zone of Influence Probabilities:
Flow Speed: -0.05, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.05, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.1, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.15, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.2, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 1.5, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 3, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: -0.05, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.05, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.1, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.15, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.2, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 1.5, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 3, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: -0.05, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0.05, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0.1, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0.15, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0.2, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 1.5, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 3, Schooling Weight: 1, Count: 0, Probability: 0.0

Entrainment Probabilities:
Flow Speed: -0.05, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.05, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.1, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.15, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.2, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 1.5, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 3, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: -0.05, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.05, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.1, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.15, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 0.2, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 1.5, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: 3, Schooling Weight: 0.5, Count: 0, Probability: 0.0
Flow Speed: -0.05, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0, Schooling Weight: 1, Count: 3, Probability: 0.02
Flow Speed: 0.05, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0.1, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0.15, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 0.2, Schooling Weight: 1, Count: 2, Probability: 0.013333333333333334
Flow Speed: 1.5, Schooling Weight: 1, Count: 0, Probability: 0.0
Flow Speed: 3, Schooling Weight: 1, Count: 0, Probability: 0.0

Collision Probabilities:
Flow Speed: -0.05, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.05, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.1, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.15, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 0.2, Schooling Weight: 0, Count: 0, Probability: 0.0
Flow Speed: 1.5, Schooling Weight: 0, Count: 1, Probability: 0.006666666666666667
Flow Speed: 3, Schooling Weight: 0, Count: 1, Probability: 0.006666666666666667
Flow Speed: -0.05, Schooling Weight: 0.5, Count: 0, Probability: 0.0
